Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links
5 days ago,"Other: Poll, Shared Post, etc","KPRIET sets the world record for raising awareness about mental health by holding a bike rally and teaching laughter yoga to the students, professors, staff, and members of the general public in the nearby village. In order to raise awareness about mental health, a bike rally was held in Arasur village. Additionally, a world record attempt for laughter yoga was made in Kalaiarangam, KPRIET, with Dr. K. Selvaraj, Professor of Psychiatry, Consultant, and Director of Vazhikatti Mental Health Centre and Research Institute, Coimbatore, as the special guest. The event was recognised as a world record and a world record certificate was provided by Mr. Ahilan Rajendran, CEO, Aasiyan Book of World Record, Tamilnadu, and Dr. P. Vivek, Editor and Organiser, Aasiyan Book of World Records. Awareness drama on mental health and dance program was also performed by the students of KPRIET.#mentalhealth #research #students #ceo #teaching #event #worldrecord #record #asian #india #institute #kpriet #nammaKPR #tamilnadu #coimbatore



…see more",182,182,5 reposts,None
2 days ago,"Other: Poll, Shared Post, etc","Heartiest congratulations to Dr. Akila Muthuramalingam, Principal, KPR Institute of Engineering and Technology, Uthupalayam, Tamil Nadu for being conferred with the Outstanding Leadership in Higher Education Award at the 14th Elets Higher Education Summit, Chennai 2022.#HEChennai #HigherEducation #Eletseducation #CreatrixcampusSubscribe to digitalLEARNING Magazine: https://bit.ly/3Qi7MCH



…see more",13,13,1 comment,None
2 weeks ago,"Other: Poll, Shared Post, etc","The Kyungpook National University's Connected Computing and Media Processing (CCMP) Laboratory was founded in 2013 and is a research facility with a strong emphasis on addressing a variety of issues in multimedia, M2M communication, the Internet of Things, big data, graph representation, machine learning, and data science. To solve data-driven problems, it is currently working on Graph Neural Network, Intelligent Transportation System, and Plant Intelligence. It is also developing intelligent algorithms that resemble biological behaviours. Machine & Deep Learning, Explainable AI, Big Data, Blockchain, Internet of Things, Intelligent Care System, Intelligent Transportation System, Machine-to-Machine Communication, Bio-mimicry, and Plant Intelligence are just a few of the present and upcoming projects of CCMP. We are happy to announce that the Connected Computing and Media Processing (CCMP) Laboratory, Kyungpook National University, South Korea, and the Department of Computer Science, KPRIET signed an MOU at CCMP, KNU, south Korea on September 29, 2022. The agreement's primary goals are to concentrate on advanced training in CCMP for professors and students, student and faculty exchange programmes, placement and internship opportunities.#southkorea #training #ai #research #communication #data #blockchain #students #opportunities #network #machinelearning #datascience #deeplearning #internship #computerscience #university #kpriet #lifeatkpr #india #NammaKPR Dr. N.Yuva Raj Dr. Sri Preethaa K. R 



…see more",348,348,14 reposts,None
3 days ago,Video,"We are skilling with Coursera and NASSCOM. KPRIET joins hands with Coursera and Future Skills which is a joint initiative by the Ministry of Electronics & Information Technology (MeitY) and the IT Industry led by NASSCOM for the industry ready courses for the students and faculty. KPRIET signs MoU with Coursera and Future Skills - NASSCOM on October 11, 2022 in the presence of Dr. M. Akila, Principal, KPRIET, Shri.Navanit Samaiyar,Head-Future Skills and Guest of Honour Shri.Udaya Sankar, Deputy Director, SSC-NASSCOM and Shri.Dulles Krishnan , Managing Director-India & ANZ and Guest of Honour Shri.D.Vinoth, Enterprise Director, Universities.#futureskills #nasscom #kpriet #coursera #course #edutech #india #tamilnadu #students #informationtechnology #universities #future #electronics 



…see more",88,88,3 reposts,https://dms.licdn.com/playlist/C5605AQGGbynHNJS-CQ/mp4-720p-30fp-crf28/0/1665591020985?e=1666504800&v=beta&t=tdlA-lNYNgGWTLGbV79nscLRhldYk76oeE_Lh8Ny6wQ
3 weeks ago,"Other: Poll, Shared Post, etc","Have you heard about Tholpavakoothu (தோல்பாவைக்கூத்து)?KPRIET's Drama Club is very excited about stage drama and mime, but they also exhibit interest in learning about the history of dramas or feature films, as well as the various cultural stage arts practices used by Indians. Here are the few details they provide regarding shadow puppetry.It also known as Tholpavakoothu, is a form of temple art that is popular in the Bhagavathy temples in Kerala's Palakkad district and neighboring areas.The puppets, known as Tholppava (Thol-leather and Pava-puppet), are manipulated by strings, and a background row of oil lamps helps to project their shadows onto a screen. The Ramayana, an Indian epic, is where the Tholppavakoothu performance takes its story from. It used to be carefully performed over the course of 41 days. Adalpattu is a prose and poetry hybrid that serves as the performance's narrative.Tholppavas are made of the skin of deer and the puppet forms are made by making small holes in the leather that is then attached vertically to a bamboo stick.Accompanying instruments include Ezhupara, Chenda, and Maddalam. The artists have to undergo several years of rigorous training to master this art form. The puppetry is staged on a special structure in temple premises called Koothumadam.Two Tholpavakoothu puppets from the district are on display at a prestigious international exhibition being held at Chuncheon in South Korea. The puppets of Hanuman and Ravana will be boasting India’s long tradition of shadow puppetry for 10 months at the Chuncheon Puppet Museum, Korea. The year-long exhibition of puppets is being held as part of the 2022 general assembly of the International Association of Puppet-Friendly Cities popular by the French acronym AVIAMA (Association des Villes Amies de la Marionnette). Signing the contract with the Chuncheon authorities, Tholpavakoothu exponent Sajeesh Pulavar said that it was a recognition not only for the traditional temple art of shadow puppetry from the State but also for the entire country which has given the world the epics of Ramayana and Mahabharat.The Korean authorities have given the following description for the Tholpavakoothu puppets displayed at the museum: “Tholpavakoothu is a traditional shadow puppet theatre in Kerala, southwestern India. It is mainly made of deer and goat skins, and two sticks are used to control the puppet.”Apart from Kerala, States such as Tamil Nadu, Karnataka, Andhra Pradesh and Odisha too have traditional puppet theatres. If it is Tholpavakoothu in Kerala, it is Tholu Bommalatam in Tamil Nadu, Tholu Bommalatta in Andhra Pradesh, Thogalu Gombeyatta in Karnataka and Raban Chhaya in Odisha. Although Kerala has another puppet art named Pavakkathakali too, it remains less popular.#tholpavakoothu #tradition #culture #drama #puppet #history #tamilnadu #kerala #museum #Chuncheon #korea #bommalatam #art #deer #historical #odisha #temple #exhibit #korean #french Courtesy: The Hindu



…see more",98,98,1 repost,None
2 weeks ago,"Other: Poll, Shared Post, etc","STUDENT LEADERSHIP SUMMIT Enjoyed speaking for the student leaders of KPR Instute of Engineering and Technology, with KP Ramasamy and Dr Akila. #sunwayuniversity #kpriet #studentleadershipsummit



…see more",78,78,N/A,None
1 month ago,"Other: Poll, Shared Post, etc","Welcome to KPR Institute of Engineering and Technology Mr. Arya. #CaptainParade in KPRIET!It was a great pleasure in welcoming actor Arya to KPRIET. After the #CaptainParade, Mr. Arya revealed the mental health initiatives that the Center for Human Excellence would launch to support the notion that ""happiness is your choice."" He claimed that improving one's mental health is a much greater priority than improving one's physical health. Arya introduced the biodiversity magazine for the KPR Campus, ""Incredibles of KPR,"" at the occasion. He also congratulates the students who recently took home numerous awards from the Mr. Tamilnadu Competition and the Smart India Hackathon.#technology #india #health #engineering #happiness #mentalhealth #students #biodiversity #captain #arya #kpriet #coimbatore #tamilnadu #india #engineering #technology #captaionArya



…see more",746,746,2 reposts,None
1 month ago,"Other: Poll, Shared Post, etc","Onam is celebrated in honour of the successful administration that Mahabali, a fictitious monarch who ruled Kerala, provided. According to tradition, the devas and gods plotted to overthrow Mahabali because they were envious of his fame and dominance. They despatched Vamana, a tiny Brahmin, to Earth where he crushed Mahabali to patala (netherworld). Vamanan requested from the kind Mahabali three feet of land as his wish. Mahabali consented to grant Vamana's request because it is considered disrespectful to refuse presents to Brahmin. Vamana measured the universe with his first two feet, leaving no room for his third foot. In order to fulfill the wish, Mahabali offered his own head in the position of his third feet.But after seeing Mahabali's kindness, Vishnu granted the king's lone request to return once a year to his kingdom and citizens. Every year in Kerala, Onam is observed to commemorate Mahabali's return home.Extending heartiest greetings on this auspicious occasion of Onam.May the colours & brightness of the festival bring joy, good health & immense prosperity to your lives.Happy Onam!#health #kindness #administration #Mahabali #onam #happyonam #kerala #tamilnadu #coimbatore #india #festival #brightness #vamanan



…see more",134,134,1 repost,None
1 month ago,"Other: Poll, Shared Post, etc","How are you aligning higher education and employment?We welcome Akila Muthuramalingam, Principal, KPR Institute of Engineering and Technology, Coimbatore to the Roundtable discussion organized by APAC News Network in partnership with Coursera for Campus on 15th September at ITC Hotels, Race Course, Coimbatore to answer this pertinent question.#CourseraforCampus #APACEducationDulles Krishnan Megha Dhawan Pushkar Kelkar D Vinoth Akash Raj Agarwal Shubham Rastogi



…see more",161,161,4 reposts,None
1 month ago,"Other: Poll, Shared Post, etc","Coding has the power to bring people together. Student teams have been coding for the last eight hours of a 36-hour competition to offer creative answers to predetermined problem statements. Participants are extremely motivated to find creative solutions to the issues, and KPRIET helps them by providing an environment that inspires a passion of coding.#people #environment #creative #power #coding #india #experience #students #smartindiahackathon2022 #SIH2022 #PM_ModiAtSIH #SIH2022 #InnovationSeAtmanirbharBharat #innovation



…see more",182,182,2 reposts,None
